,Age,EdLevel,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed
13067,>35,Master,NonBinary,Yes,Dev,20,8,Netherlands,60535.0,12,0
13068,<35,Undergraduate,Man,No,Dev,10,3,Canada,54833.0,14,1
13069,<35,Undergraduate,Man,No,Dev,5,0,United Kingdom of Great Britain and Northern Ireland,40717.0,7,1
13070,>35,Other,Man,No,Dev,22,20,Austria,108098.0,15,0
13071,>35,Master,Man,No,Dev,32,10,Denmark,94075.0,14,0
13072,>35,PhD,Man,No,Dev,37,20,Germany,69151.0,6,0
13073,<35,Master,Man,No,Dev,10,3,Germany,62239.0,9,0
13074,<35,Master,Man,No,Dev,10,3,Italy,21120.0,3,0
13075,<35,Master,Man,No,Dev,8,4,United States of America,155000.0,3,0
13076,>35,Master,Man,No,Dev,15,13,United States of America,141000.0,11,0
13077,<35,Undergraduate,Man,No,Dev,12,6,United Kingdom of Great Britain and Northern Ireland,84019.0,21,1
13078,<35,Undergraduate,Man,No,Dev,13,9,United States of America,200000.0,16,1
13079,<35,Master,Man,No,Dev,8,7,France,59454.0,12,0
13081,<35,Undergraduate,Man,No,Dev,9,7,United States of America,44750.0,14,1
13082,<35,Undergraduate,NonBinary,Yes,Dev,7,6,United States of America,42000.0,10,1
13083,<35,Other,Woman,Yes,Dev,4,2,Israel,31524.0,16,1
13084,<35,Undergraduate,Man,No,Dev,10,2,United States of America,90000.0,18,0
13085,>35,PhD,Man,Yes,Dev,23,5,South Africa,43236.0,18,1
13086,<35,Master,Man,No,Dev,5,3,France,55130.0,30,1
13087,<35,Undergraduate,Man,No,Dev,4,3,Canada,49160.0,8,0
13088,>35,Undergraduate,Man,No,Dev,30,30,United Kingdom of Great Britain and Northern Ireland,23268.0,10,1
13089,<35,Undergraduate,Man,No,Dev,13,6,United States of America,130000.0,15,1
13090,>35,Master,Man,No,Dev,23,14,Finland,64860.0,8,0
13091,<35,Master,Man,No,Dev,5,0,India,4468.0,15,1
13092,<35,Master,Man,No,Dev,11,5,Netherlands,84312.0,9,0
13094,>35,Undergraduate,Man,No,Dev,23,11,Italy,27180.0,13,1
13095,>35,Master,Man,No,Dev,4,3,United States of America,175000.0,11,0
13096,<35,Undergraduate,Man,Yes,Dev,5,3,Greece,12972.0,7,0
13097,<35,Other,Man,No,Dev,8,4,Brazil,35736.0,28,1
13098,>35,Undergraduate,Man,No,Dev,40,30,United States of America,175000.0,19,1
13099,<35,Other,Man,No,Dev,7,3,Slovakia,25944.0,3,0
13100,>35,Undergraduate,Man,No,Dev,21,20,France,74148.0,20,1
13101,>35,Undergraduate,Man,No,Dev,15,12,Belgium,51888.0,12,1
13102,>35,Other,Man,Yes,Dev,33,30,Chile,37632.0,7,0
13103,<35,Master,Man,No,Dev,5,3,Albania,12720.0,15,1
13104,>35,Other,Man,Yes,Dev,30,11,United Kingdom of Great Britain and Northern Ireland,62045.0,10,1
13105,<35,Undergraduate,Man,No,Dev,7,0,United Kingdom of Great Britain and Northern Ireland,45241.0,13,0
13106,<35,Undergraduate,Man,No,Dev,10,5,United States of America,75000.0,16,0
13107,>35,Undergraduate,Man,No,Dev,13,10,United Kingdom of Great Britain and Northern Ireland,71093.0,11,0
13108,<35,Master,Man,No,Dev,15,11,United States of America,150000.0,32,1
13109,<35,Undergraduate,Woman,Yes,Dev,6,4,Morocco,14784.0,20,1
13110,<35,Undergraduate,Man,No,Dev,6,4,Ethiopia,33768.0,21,1
13111,<35,Other,Man,Yes,Dev,11,5,Bolivia,6600.0,11,0
13112,<35,Undergraduate,Man,No,Dev,8,3,Brazil,16488.0,7,0
13113,>35,Other,Man,No,Dev,48,38,France,170712.0,10,0
13114,<35,Undergraduate,Man,No,Dev,7,2,India,10052.0,16,1
13115,<35,Other,Man,Yes,Dev,12,9,Germany,54049.0,23,0
13117,<35,Undergraduate,NonBinary,No,Dev,5,2,Indonesia,1752.0,13,1
13118,<35,Other,Man,No,Dev,4,0,Singapore,17208.0,10,1
13119,>35,Other,Man,No,Dev,7,3,Germany,48648.0,12,1
13120,<35,Undergraduate,Man,No,Dev,19,11,Netherlands,71885.0,5,0
13121,<35,Undergraduate,Man,No,Dev,7,3,United States of America,100000.0,14,1
13122,<35,Master,Man,No,Dev,11,10,Germany,94586.0,8,0
13123,<35,Undergraduate,Man,No,Dev,5,2,United Arab Emirates,24504.0,27,1
13124,<35,NoHigherEd,Woman,Yes,Dev,14,6,Germany,75650.0,17,1
13125,<35,Undergraduate,Man,No,Dev,4,1,United Kingdom of Great Britain and Northern Ireland,64630.0,23,1
13126,<35,Undergraduate,Man,No,Dev,15,12,Australia,133619.0,19,1
13127,<35,Undergraduate,Man,No,Dev,15,5,Mexico,54000.0,14,0
13128,<35,Master,Man,No,Dev,18,13,Netherlands,82695.0,21,1
13129,<35,Undergraduate,Man,No,Dev,10,4,Austria,31128.0,23,1
13130,<35,Undergraduate,Man,No,Dev,10,5,Russian Federation,39636.0,2,0
13131,>35,Master,Man,No,Dev,6,3,United States of America,150000.0,13,0
13132,>35,Other,Man,Yes,Dev,38,25,United Kingdom of Great Britain and Northern Ireland,193889.0,5,0
13133,<35,Undergraduate,Woman,No,Dev,12,4,Germany,41508.0,5,0
13134,>35,Undergraduate,Man,No,Dev,20,15,Brazil,27492.0,3,0
13135,<35,Undergraduate,Man,No,Dev,8,2,United Kingdom of Great Britain and Northern Ireland,39424.0,13,1
13136,>35,Undergraduate,Man,No,Dev,40,35,United States of America,78000.0,4,0
13137,<35,Master,Man,No,Dev,4,4,Poland,39492.0,2,0
13138,<35,Undergraduate,Man,No,Dev,8,5,Germany,86916.0,17,1
13139,<35,Undergraduate,Woman,No,Dev,3,3,France,44221.0,12,1
13140,<35,Undergraduate,Man,No,Dev,8,4,Kenya,9492.0,13,1
13141,>35,Undergraduate,Man,No,Dev,23,17,Germany,86478.0,11,1
13143,<35,Undergraduate,Man,No,Dev,11,4,United Kingdom of Great Britain and Northern Ireland,43948.0,24,1
13144,>35,Other,Man,No,Dev,24,20,United Kingdom of Great Britain and Northern Ireland,193884.0,25,1
13145,<35,Undergraduate,Man,No,Dev,6,2,United States of America,100000.0,16,0
13146,<35,Master,Man,No,Dev,16,10,Switzerland,96566.0,23,1
13148,<35,Master,Man,No,Dev,15,3,Poland,13668.0,16,1
13150,<35,Undergraduate,Man,No,Dev,10,4,United States of America,135000.0,18,0
13151,<35,Other,Man,No,Dev,12,9,Austria,47671.0,20,0
13152,>35,Master,Man,No,Dev,26,11,Germany,91883.0,18,1
13153,<35,PhD,Man,No,Dev,16,10,United Kingdom of Great Britain and Northern Ireland,96945.0,8,0
13154,<35,NoHigherEd,Man,No,Dev,7,2,Italy,18156.0,8,0
13155,<35,Undergraduate,Man,No,Dev,17,6,Germany,80424.0,8,0
13156,>35,Master,Man,No,Dev,22,17,Russian Federation,50952.0,11,1
13157,<35,Undergraduate,Man,No,Dev,17,9,Poland,127572.0,6,0
13158,<35,Undergraduate,Man,No,Dev,4,0,India,44678.0,17,1
13159,>35,Master,Man,No,Dev,10,6,United States of America,135000.0,9,0
13160,>35,Other,Man,No,Dev,40,30,Argentina,97308.0,8,1
13161,<35,Undergraduate,Woman,No,Dev,3,1,United States of America,67000.0,14,0
13162,<35,Other,Man,No,Dev,6,0,United States of America,40000.0,21,1
13163,>35,Undergraduate,Man,No,Dev,22,10,United Kingdom of Great Britain and Northern Ireland,84019.0,18,0
13164,<35,Undergraduate,Man,Yes,Dev,18,11,Germany,58368.0,22,1
13165,>35,Undergraduate,Man,No,Dev,25,15,Brazil,27492.0,29,1
13166,<35,Undergraduate,Man,No,Dev,6,2,United States of America,80000.0,5,0
13167,>35,Other,Man,No,Dev,38,7,Finland,61746.0,6,0
13168,<35,Undergraduate,Man,No,Dev,6,0,United States of America,60000.0,14,1
13169,<35,Undergraduate,Man,No,Dev,9,6,Pakistan,17904.0,6,0
13170,<35,Other,Man,No,Dev,16,10,Lithuania,48644.0,2,0
13171,<35,Other,Woman,No,Dev,18,5,United Kingdom of Great Britain and Northern Ireland,45241.0,15,1
13173,<35,NoHigherEd,Man,No,Dev,3,2,Brazil,19236.0,23,1
13174,>35,Other,Man,Yes,Dev,26,20,United States of America,145000.0,17,0
13175,<35,Other,Man,Yes,Dev,5,0,Spain,14400.0,11,0
13176,<35,Undergraduate,Man,No,Dev,4,0,Nigeria,6744.0,7,0
13177,<35,Master,Man,No,Dev,15,5,United States of America,79500.0,10,0
13178,<35,Undergraduate,Man,Yes,Dev,8,8,United States of America,80000.0,13,0
13179,<35,Other,Man,No,Dev,8,4,Republic of Moldova,25164.0,12,1
13180,<35,Undergraduate,Man,Yes,Dev,3,2,Canada,45379.0,8,0
13182,<35,Undergraduate,Man,No,Dev,3,0,France,22056.0,10,0
13183,>35,Master,Man,No,Dev,19,13,United Kingdom of Great Britain and Northern Ireland,96945.0,11,1
13184,<35,Undergraduate,Man,No,Dev,5,3,India,5028.0,9,0
13185,<35,Other,Man,Yes,Dev,18,9,Netherlands,32429.0,25,1
13186,>35,Undergraduate,Man,No,Dev,44,42,Brazil,27492.0,10,0
13187,<35,NoHigherEd,Man,No,Dev,16,10,Bulgaria,27852.0,14,1
13188,>35,Other,Man,Yes,Dev,40,31,United States of America,120000.0,13,0
13189,<35,Undergraduate,Man,No,Dev,16,11,Ireland,86478.0,15,0
13190,<35,Undergraduate,Man,Yes,Dev,6,2,Pakistan,9600.0,16,1
13191,<35,Undergraduate,Man,Yes,Dev,14,4,United States of America,58000.0,12,1
13192,>35,Undergraduate,Man,Yes,Dev,41,36,United States of America,170000.0,7,0
13194,<35,NoHigherEd,Man,Yes,Dev,14,11,Spain,26484.0,14,1
13195,<35,Master,Man,No,Dev,15,3,France,45401.0,6,0
13196,<35,NoHigherEd,Man,No,Dev,20,6,Germany,64859.0,24,1
13197,>35,Undergraduate,Man,No,Dev,26,21,United States of America,115000.0,15,1
13199,<35,Master,Man,No,Dev,15,8,Canada,57686.0,6,1
13201,<35,Undergraduate,Man,No,Dev,10,0,Cyprus,21620.0,16,1
13203,<35,Undergraduate,Man,No,Dev,6,1,Canada,75631.0,7,0
13204,>35,Undergraduate,Man,No,Dev,18,10,"Iran, Islamic Republic of...",142500.0,16,1
13205,<35,Master,Man,No,Dev,4,2,France,42158.0,4,0
13206,>35,Master,Man,No,Dev,30,15,Singapore,121916.0,10,1
13207,<35,Master,Man,Yes,Dev,14,9,India,25131.0,8,0
13208,<35,Undergraduate,Man,No,Dev,6,5,United States of America,80000.0,23,1
13209,<35,Undergraduate,Man,No,Dev,4,3,Thailand,28800.0,13,0
13210,>35,Undergraduate,Man,No,Dev,15,10,United States of America,176000.0,25,1
13211,<35,Undergraduate,Man,No,Dev,11,9,Canada,113447.0,20,1
13212,<35,Undergraduate,Man,No,Dev,15,12,United Kingdom of Great Britain and Northern Ireland,69800.0,15,0
13213,>35,Undergraduate,Man,No,Dev,41,41,United States of America,115000.0,13,0
13214,<35,Undergraduate,Man,No,Dev,13,10,United States of America,80000.0,12,1
13216,<35,Master,Man,No,Dev,7,2,France,45401.0,15,1
13217,<35,Undergraduate,Man,Yes,Dev,5,3,United States of America,105000.0,20,1
13218,>35,Undergraduate,Man,Yes,Dev,20,25,United States of America,143000.0,41,1
13219,<35,Master,Man,No,Dev,3,2,Bangladesh,3528.0,11,0
13220,<35,Master,Man,No,Dev,4,0,Spain,17296.0,20,1
13221,<35,Undergraduate,Man,No,Dev,8,5,United States of America,100000.0,21,1
13222,<35,Undergraduate,Man,No,Dev,10,2,United Kingdom of Great Britain and Northern Ireland,76.0,13,1
13223,>35,Undergraduate,Man,Yes,Dev,24,23,Brazil,35736.0,3,0
13224,<35,Undergraduate,Man,No,Dev,12,8,United Kingdom of Great Britain and Northern Ireland,84019.0,11,1
13225,<35,Master,Man,No,Dev,11,10,United Kingdom of Great Britain and Northern Ireland,129259.0,24,1
13226,<35,Other,Man,No,Dev,5,3,"Iran, Islamic Republic of...",60535.0,12,0
13227,>35,Undergraduate,Man,Yes,Dev,22,20,United States of America,149000.0,19,1
13228,<35,Undergraduate,Woman,No,Dev,8,6,United States of America,54000.0,10,0
13229,<35,Undergraduate,Man,Yes,Dev,10,6,United States of America,120000.0,7,0
13230,>35,Undergraduate,Man,No,Dev,15,10,Spain,194600.0,21,1
13231,<35,Undergraduate,Man,Yes,Dev,14,7,United Kingdom of Great Britain and Northern Ireland,42332.0,10,0
13232,>35,PhD,Man,Yes,Dev,23,8,United States of America,216000.0,10,0
13233,<35,Undergraduate,Man,No,Dev,6,1,Pakistan,5832.0,6,0
13235,<35,Master,Man,No,Dev,9,3,France,37294.0,3,0
13236,<35,Undergraduate,Man,Yes,Dev,9,7,Germany,70264.0,10,0
13237,>35,Undergraduate,Woman,No,Dev,10,10,India,36864.0,9,0
13238,>35,Undergraduate,Man,Yes,Dev,20,16,Netherlands,55776.0,5,0
13239,<35,Undergraduate,Man,No,Dev,16,10,Portugal,43239.0,15,1
13240,<35,Other,Man,No,Dev,15,13,Canada,143699.0,23,1
13241,<35,Other,Man,Yes,Dev,6,4,Nomadic,85000.0,11,1
13242,<35,Other,Man,No,Dev,14,10,Japan,28824.0,12,0
13243,>35,Other,Man,Yes,Dev,20,10,United States of America,80000.0,6,0
13244,<35,Master,Man,No,Dev,10,6,Russian Federation,3540.0,14,1
13245,<35,Other,Man,No,Dev,8,4,Spain,37834.0,13,1
13246,<35,Undergraduate,Man,No,Dev,16,6,Poland,50124.0,8,0
13247,<35,Undergraduate,Man,Yes,Dev,8,7,Argentina,29196.0,19,1
13248,>35,Master,Man,No,Dev,17,16,United States of America,140000.0,3,0
13249,>35,NoHigherEd,Man,No,Dev,10,10,United Kingdom of Great Britain and Northern Ireland,77556.0,6,0
13250,>35,Undergraduate,Man,No,Dev,17,14,Russian Federation,60396.0,7,0
13251,<35,Master,Man,No,Dev,2,2,United Kingdom of Great Britain and Northern Ireland,71093.0,14,1
13252,>35,Master,Man,No,Dev,25,15,Serbia,64860.0,22,1
13253,<35,Undergraduate,Man,No,Dev,12,8,Bulgaria,37788.0,16,1
13254,<35,Undergraduate,Man,No,Dev,12,6,Sweden,93276.0,17,0
13255,<35,Master,Man,No,Dev,4,4,United States of America,160000.0,14,1
13256,<35,Undergraduate,Man,No,Dev,7,3,Greece,34591.0,8,0
13257,<35,Other,Man,Yes,Dev,15,3,United States of America,84500.0,21,1
13258,>35,Master,Man,No,Dev,20,16,United States of America,150000.0,17,1
13259,>35,NoHigherEd,Man,No,Dev,22,20,Spain,59454.0,21,1
13260,<35,Other,Man,No,Dev,3,2,Turkey,12350.0,10,0
13262,<35,Other,Man,No,Dev,7,3,Italy,155664.0,10,1
13263,<35,Master,Man,No,Dev,5,1,India,1536.0,14,1
13264,<35,Undergraduate,Man,No,Dev,11,0,Greece,15134.0,13,1
13266,<35,Master,Man,No,Dev,7,1,France,32429.0,8,0
13267,<35,NoHigherEd,Man,No,Dev,3,1,Spain,14376.0,5,0
13268,>35,Undergraduate,Man,No,Dev,20,15,India,20100.0,15,0
13269,<35,Undergraduate,Man,No,Dev,9,6,United States of America,190000.0,24,1
13271,<35,Other,Man,No,Dev,9,2,Canada,40836.0,15,0
13272,<35,Other,Man,No,Dev,10,5,Italy,44320.0,2,0
13273,<35,Master,Man,No,Dev,7,3,Ireland,59454.0,15,1
13274,<35,Master,Man,No,Dev,13,2,France,29832.0,11,0
13275,<35,Undergraduate,Man,No,Dev,9,5,United States of America,71000.0,7,1
13276,>35,Undergraduate,Man,No,Dev,16,14,United States of America,74000.0,12,0
13277,<35,Undergraduate,Man,Yes,Dev,7,4,Mexico,18422.0,18,1
13278,>35,Undergraduate,Man,No,Dev,15,10,Germany,64318.0,11,1
13279,>35,Undergraduate,Man,No,Dev,35,35,United States of America,100000.0,9,1
13280,>35,Other,Man,No,Dev,25,28,Brazil,14292.0,16,1
13282,<35,Other,Man,No,Dev,9,6,Germany,48644.0,16,1
13283,>35,Master,Man,No,Dev,47,40,Spain,81074.0,7,0
13284,<35,Other,Man,No,Dev,4,3,Albania,38400.0,6,0
13286,<35,Undergraduate,Man,No,Dev,13,7,United States of America,220000.0,10,1
13287,<35,Undergraduate,Man,No,Dev,11,4,Spain,44320.0,12,0
13288,<35,Master,Man,No,Dev,15,3,Poland,29292.0,7,0
13289,<35,Undergraduate,Man,No,Dev,10,5,Canada,56723.0,9,1
13290,>35,Undergraduate,Woman,Yes,Dev,21,5,United States of America,110000.0,6,0
13291,<35,Undergraduate,Man,Yes,Dev,5,4,Angola,1992.0,15,0
13292,<35,Master,Woman,No,Dev,14,9,Canada,102859.0,12,0
13293,>35,Other,Man,No,Dev,30,21,United Kingdom of Great Britain and Northern Ireland,124092.0,6,0
13294,>35,Undergraduate,Man,No,Dev,13,10,Canada,75631.0,12,1
13295,<35,Undergraduate,Man,Yes,Dev,4,3,United States of America,110000.0,13,0
13296,>35,Master,Man,Yes,Dev,39,28,Germany,77831.0,9,0
13297,<35,NoHigherEd,Man,Yes,Dev,10,7,Germany,51888.0,22,1
13298,<35,Undergraduate,Man,Yes,Dev,10,1,Canada,30253.0,12,1
13299,>35,Undergraduate,Man,No,Dev,25,20,Brazil,3436.0,6,0
13300,<35,Master,Man,No,Dev,16,13,United Kingdom of Great Britain and Northern Ireland,58167.0,14,1
13301,<35,Undergraduate,Man,Yes,Dev,7,3,Trinidad and Tobago,8880.0,7,0
13303,<35,Undergraduate,Man,No,Dev,13,10,Costa Rica,72000.0,14,0
13304,<35,Undergraduate,Woman,No,Dev,5,2,United States of America,53550.0,8,0
13306,<35,Other,Man,Yes,Dev,4,1,"Iran, Islamic Republic of...",28500.0,18,1
13307,<35,Undergraduate,Man,No,Dev,10,6,Netherlands,57724.0,23,1
13308,<35,Undergraduate,Man,Yes,Dev,9,5,United States of America,71226.0,7,0
13309,<35,Undergraduate,Man,No,Dev,9,5,United States of America,125000.0,22,1
13310,<35,Undergraduate,Man,No,Dev,17,14,"Iran, Islamic Republic of...",57000.0,13,1
13311,>35,Other,Man,No,Dev,41,33,Switzerland,129318.0,15,1
13312,>35,Master,Man,No,Dev,18,14,Portugal,15564.0,13,0
13313,<35,PhD,Man,No,Dev,18,6,United Kingdom of Great Britain and Northern Ireland,103408.0,7,0
13314,<35,Undergraduate,Man,No,Dev,5,3,Romania,37992.0,5,0
13315,<35,Undergraduate,Man,No,Dev,15,4,Canada,52942.0,16,0
13316,>35,Undergraduate,Man,No,Dev,22,14,Canada,50673.0,6,0
13318,>35,Master,Man,No,Dev,10,7,United States of America,90000.0,14,0
13320,>35,Other,Man,No,Dev,20,18,Brazil,18552.0,26,1
13321,<35,Other,Man,Yes,Dev,16,11,United States of America,100000.0,14,1
13323,<35,Undergraduate,Man,No,Dev,5,1,Uganda,3600.0,16,1
13324,<35,Other,Man,No,Dev,20,10,United States of America,85000.0,12,0
13325,>35,Master,Man,No,Dev,15,11,France,81074.0,4,0
13326,<35,Undergraduate,Man,No,Dev,15,8,Belgium,54480.0,16,1
13328,<35,Other,Man,No,Dev,20,7,Bolivia,864.0,13,0
13329,<35,Undergraduate,Man,No,Dev,20,9,Poland,47208.0,13,1
13330,<35,Undergraduate,Man,No,Dev,18,11,United States of America,190000.0,14,1
13331,<35,Undergraduate,Man,No,Dev,18,13,Netherlands,56820.0,16,1
13332,<35,Undergraduate,Man,No,Dev,17,12,United Kingdom of Great Britain and Northern Ireland,84019.0,9,0
13334,>35,Undergraduate,Man,No,Dev,15,15,United Kingdom of Great Britain and Northern Ireland,54289.0,18,1
13336,<35,Other,Man,Yes,Dev,11,10,United States of America,119000.0,13,0
13337,>35,Other,Man,No,Dev,30,20,Chile,78000.0,1,0
13338,<35,Undergraduate,Man,Yes,Dev,10,3,Canada,96052.0,12,0
13339,<35,Undergraduate,Man,No,Dev,12,4,United Kingdom of Great Britain and Northern Ireland,38778.0,6,0
13340,<35,Undergraduate,Man,No,Dev,4,1,Viet Nam,10344.0,17,1
13341,<35,Master,Man,No,Dev,20,10,United States of America,200000.0,21,1
13342,>35,Undergraduate,Man,Yes,Dev,18,15,United States of America,160000.0,15,1
13344,>35,Other,Man,No,Dev,21,12,France,54049.0,9,0
13345,>35,Undergraduate,Man,No,Dev,12,8,Italy,34591.0,9,1
13346,>35,Other,Man,No,Dev,45,33,United States of America,192400.0,10,1
13347,<35,Other,Man,No,Dev,11,7,Dominican Republic,16164.0,13,0
13348,<35,NoHigherEd,Man,No,Dev,10,7,Italy,27025.0,14,1
13349,>35,Master,Man,No,Dev,5,3,Pakistan,6500.0,4,0
13350,<35,Undergraduate,Man,No,Dev,5,5,India,10896.0,14,0
13351,>35,Master,Man,No,Dev,15,10,Guatemala,39324.0,22,1
13352,<35,Undergraduate,Man,No,Dev,2,1,Nigeria,4944.0,5,0
13353,<35,Undergraduate,Man,No,Dev,5,2,Slovenia,15564.0,11,1
13354,>35,PhD,Woman,No,Dev,11,7,Denmark,90312.0,12,0
13355,>35,Other,Man,Yes,Dev,25,13,United States of America,220000.0,10,0
13356,>35,Undergraduate,Man,No,Dev,14,11,Malaysia,36036.0,15,1
13357,<35,Undergraduate,Woman,Yes,Dev,11,0,Netherlands,36324.0,19,1
13358,<35,Undergraduate,Man,Yes,Dev,14,6,Russian Federation,34800.0,18,1
13361,<35,Master,Man,No,Dev,2,0,United States of America,115500.0,15,0
13362,>35,Undergraduate,Man,No,Dev,38,25,United Kingdom of Great Britain and Northern Ireland,161550.0,5,0
13363,<35,Undergraduate,Man,No,Dev,11,8,Azerbaijan,49344.0,25,1
13364,>35,Master,Man,No,Dev,38,33,United States of America,85000.0,12,0
13365,>35,Master,Man,Yes,Dev,22,17,Sweden,56460.0,3,0
13366,>35,Undergraduate,Man,No,Dev,25,23,Mexico,156000.0,35,1
13367,<35,Master,Man,No,Dev,8,1,United States of America,115000.0,9,0
13368,>35,Undergraduate,Man,No,Dev,10,6,United States of America,220000.0,22,1
13369,<35,Master,Man,No,Dev,5,4,Poland,54672.0,12,0
13370,<35,Undergraduate,Man,Yes,Dev,6,4,United States of America,115000.0,8,0
13371,<35,Undergraduate,Man,Yes,Dev,8,3,Canada,64287.0,14,0
13372,<35,Undergraduate,Man,Yes,Dev,11,6,United States of America,135000.0,16,1
13373,<35,Master,Man,No,Dev,16,12,Portugal,45401.0,52,1
13374,<35,Other,Man,No,Dev,6,5,Chile,33120.0,20,1
13376,>35,Other,Man,No,Dev,7,5,South Africa,44028.0,15,1
13377,>35,Undergraduate,Man,Yes,Dev,35,25,United States of America,100000.0,9,1
13378,<35,Undergraduate,Man,Yes,Dev,10,5,Mexico,38784.0,26,1
13379,<35,PhD,Man,No,Dev,16,2,United Kingdom of Great Britain and Northern Ireland,42345.0,1,0
13380,>35,Undergraduate,Man,No,Dev,23,20,Canada,54455.0,11,0
13381,<35,Undergraduate,Man,No,Dev,9,5,Hong Kong (S.A.R.),38592.0,16,0
13382,<35,Undergraduate,Man,No,Dev,7,2,Germany,90804.0,14,1
13383,<35,Undergraduate,Man,Yes,Dev,6,5,United States of America,48830.0,11,0
13384,>35,NoHigherEd,Man,No,Dev,36,35,Denmark,108548.0,6,0
13385,>35,Undergraduate,Man,No,Dev,29,25,United Kingdom of Great Britain and Northern Ireland,45241.0,5,0
13386,<35,Undergraduate,Man,No,Dev,7,3,Hungary,19452.0,22,1
13387,>35,NoHigherEd,Man,No,Dev,38,31,United Kingdom of Great Britain and Northern Ireland,180963.0,15,1
13388,<35,Undergraduate,Man,No,Dev,10,5,Mexico,38400.0,36,1
13389,<35,Other,Man,No,Dev,15,12,Hungary,46183.0,5,0
13390,<35,Undergraduate,Man,No,Dev,6,6,United States of America,103000.0,20,1
13391,<35,Undergraduate,Man,No,Dev,8,3,India,27312.0,16,0
13392,<35,Undergraduate,Man,No,Dev,5,3,Serbia,11016.0,10,0
13393,<35,Master,Man,Yes,Dev,18,9,United States of America,121000.0,13,1
13394,>35,Other,Man,No,Dev,15,9,Spain,50806.0,3,0
13395,<35,NoHigherEd,Man,No,Dev,6,4,Germany,33732.0,28,1
13396,>35,NoHigherEd,Man,Yes,Dev,30,21,Canada,94539.0,14,1
13397,>35,Undergraduate,Man,No,Dev,38,20,United States of America,115000.0,34,1
13398,>35,Undergraduate,Man,No,Dev,20,15,Canada,113447.0,6,1
13399,<35,Undergraduate,Man,No,Dev,8,2,Sri Lanka,6600.0,24,1
13400,>35,PhD,Man,No,Dev,36,18,Germany,70264.0,14,1
13401,>35,Undergraduate,Man,No,Dev,32,20,Canada,65799.0,12,1
13402,<35,Other,Man,No,Dev,5,3,Canada,64287.0,10,0
13403,>35,Master,Man,No,Dev,30,25,Slovakia,50806.0,5,0
13404,<35,Master,Man,No,Dev,8,5,Côte d'Ivoire,7908.0,10,0
13405,<35,Undergraduate,Man,No,Dev,17,11,Peru,54000.0,16,1
13406,>35,Undergraduate,Man,No,Dev,45,37,United States of America,208000.0,12,1
13407,<35,NoHigherEd,Man,No,Dev,3,3,South Korea,20121.0,12,0
13408,>35,Master,Man,No,Dev,20,15,France,36324.0,12,0
13409,<35,NoHigherEd,Man,Yes,Dev,7,1,Italy,18156.0,9,0
13410,<35,Undergraduate,Man,No,Dev,14,7,Serbia,48000.0,27,1
13411,<35,Undergraduate,Man,Yes,Dev,11,6,United States of America,65000.0,8,0
13412,>35,PhD,Woman,No,Dev,4,3,United Kingdom of Great Britain and Northern Ireland,51704.0,15,0
13413,<35,Undergraduate,Man,No,Dev,15,11,Mexico,51708.0,30,1
13415,<35,Undergraduate,Man,Yes,Dev,4,5,Mexico,16164.0,19,1
13416,<35,Undergraduate,Man,No,Dev,10,7,Brazil,31608.0,12,0
13417,<35,Undergraduate,Man,Yes,Dev,7,3,Brazil,14889.0,2,0
13418,<35,Undergraduate,Man,No,Dev,12,7,India,13962.0,6,0
13419,>35,NoHigherEd,Man,No,Dev,33,21,Germany,162147.0,13,0
13420,>35,Master,Man,No,Dev,30,27,Greece,64859.0,18,1
13421,>35,Other,Man,No,Dev,37,30,Italy,45396.0,18,1
13422,<35,Undergraduate,Man,No,Dev,6,2,United States of America,70000.0,12,1
13423,>35,PhD,Man,No,Dev,15,7,Belgium,64859.0,3,0
13424,<35,Undergraduate,Man,No,Dev,7,4,Canada,49160.0,20,1
13425,<35,Undergraduate,Man,Yes,Dev,7,3,India,11867.0,16,1
13426,<35,Master,Man,No,Dev,16,13,Switzerland,101649.0,23,1
13427,<35,Master,Man,No,Dev,10,5,Portugal,27241.0,11,0
13428,>35,Other,Man,No,Dev,15,10,United States of America,180000.0,16,1
13429,>35,Undergraduate,Man,No,Dev,21,10,United States of America,150000.0,10,0
13430,<35,Undergraduate,Man,No,Dev,8,5,Mexico,6468.0,11,1
13431,>35,Master,Man,No,Dev,21,17,United States of America,110000.0,19,1
13432,<35,Undergraduate,Man,No,Dev,6,1,India,5585.0,12,1
13433,<35,Master,Man,No,Dev,2,2,Hungary,26298.0,13,1
13434,<35,Other,Man,No,Dev,10,3,Czech Republic,11436.0,10,0
13435,<35,Undergraduate,Man,No,Dev,10,6,Brazil,15120.0,11,1
13436,>35,Undergraduate,Man,No,Dev,25,15,Colombia,12360.0,9,0
13437,>35,Undergraduate,Man,No,Dev,14,10,Chile,39132.0,12,0
13438,>35,Other,Man,No,Dev,35,25,Russian Federation,33300.0,13,1
13439,<35,Other,Man,No,Dev,18,6,Canada,68068.0,32,1
13440,<35,Master,Man,No,Dev,7,2,France,42158.0,19,1
13441,<35,Master,Man,No,Dev,10,3,Argentina,38928.0,6,1
13442,<35,Undergraduate,NonBinary,Yes,Dev,6,0,Russian Federation,11328.0,2,0
13444,<35,Undergraduate,Man,No,Dev,12,8,Spain,43239.0,14,1
13445,>35,Master,Man,No,Dev,25,18,Canada,151263.0,18,1
